mutation_id	replicate	prevalence
1	1	1	0.882352941176471
2	2	1	0.941176470588235
3	3	1	1
4	4	1	0.0714285714285714
5	5	1	0.266666666666667
6	1	2	1
7	2	2	1
8	3	2	0.833333333333333
9	4	2	0.111111111111111
10	5	2	0.266666666666667
11	1	3	1
12	2	3	0.941176470588235
13	3	3	0.307692307692308
14	4	3	0
15	5	3	0.2
16	1	4	1
17	2	4	1
18	3	4	0.846153846153846
19	4	4	0.117647058823529
20	5	4	0.266666666666667
21	1	5	0.941176470588235
22	2	5	1
23	3	5	0.538461538461538
24	4	5	0.222222222222222
25	5	5	0.466666666666667
26	1	6	0.5
27	2	6	0.5
28	3	6	0.583333333333333
29	4	6	0.0769230769230769
30	5	6	0.466666666666667
31	1	7	1
32	2	7	0.866666666666667
33	3	7	0.545454545454545
34	4	7	0.0769230769230769
35	5	7	0.4
36	1	8	1
37	2	8	1
38	3	8	0.8
39	4	8	0.166666666666667
40	5	8	0.533333333333333
41	1	9	0.894736842105263
42	2	9	0.55
43	3	9	0.583333333333333
44	4	9	0.375
45	5	9	0.266666666666667
46	1	10	1
47	2	10	0.928571428571429
48	3	10	0.692307692307692
49	4	10	0.384615384615385
50	5	10	0.466666666666667
51	1	11	0.894736842105263
52	2	11	1
53	3	11	0.5
54	4	11	0.214285714285714
55	5	11	0.133333333333333
56	1	12	1
57	2	12	0.8
58	3	12	0.642857142857143
59	4	12	0.0588235294117647
60	5	12	0.466666666666667
61	1	13	0.933333333333333
62	2	13	0.857142857142857
63	3	13	0.666666666666667
64	4	13	0.0769230769230769
65	5	13	0.133333333333333
66	1	14	1
67	2	14	1
68	3	14	0.285714285714286
69	4	14	0.0666666666666667
70	5	14	0.266666666666667
71	1	15	1
72	2	15	0.583333333333333
73	3	15	0.571428571428571
74	4	15	0.142857142857143
75	5	15	0.2
76	1	16	1
77	2	16	1
78	3	16	0.5
79	4	16	0.0588235294117647
80	5	16	0.266666666666667
81	1	17	1
82	2	17	0.785714285714286
83	3	17	0.571428571428571
84	4	17	0.157894736842105
85	5	17	0.2
86	1	18	1
87	2	18	0.933333333333333
88	3	18	0.692307692307692
89	4	18	0.461538461538462
90	5	18	0.2
91	1	19	1
92	2	19	0.875
93	3	19	0.666666666666667
94	4	19	0.125
95	5	19	0.466666666666667
96	1	20	1
97	2	20	1
98	3	20	1
99	4	20	0.25
100	5	20	0.266666666666667
101	1	21	0.823529411764706
102	2	21	1
103	3	21	0.538461538461538
104	4	21	0.0666666666666667
105	5	21	0.2
106	1	22	1
107	2	22	0.647058823529412
108	3	22	0.538461538461538
109	4	22	0.0769230769230769
110	5	22	0.466666666666667
111	1	23	0.823529411764706
112	2	23	0.714285714285714
113	3	23	0.615384615384615
114	4	23	0.0588235294117647
115	5	23	0.266666666666667
116	1	24	0.764705882352941
117	2	24	1
118	3	24	0.833333333333333
119	4	24	0.142857142857143
120	5	24	0.333333333333333
121	1	25	0.571428571428571
122	2	25	0.9375
123	3	25	0.692307692307692
124	4	25	0.214285714285714
125	5	25	0.333333333333333
126	1	26	0.882352941176471
127	2	26	1
128	3	26	0.583333333333333
129	4	26	0.153846153846154
130	5	26	0.666666666666667
131	1	27	1
132	2	27	0.6
133	3	27	0.909090909090909
134	4	27	0.142857142857143
135	5	27	0.4
136	1	28	1
137	2	28	1
138	3	28	0.538461538461538
139	4	28	0.0833333333333333
140	5	28	0.333333333333333
141	1	29	1
142	2	29	0.642857142857143
143	3	29	0.714285714285714
144	4	29	0.0666666666666667
145	5	29	0.333333333333333
146	1	30	1
147	2	30	1
148	3	30	0.857142857142857
149	4	30	0.0833333333333333
150	5	30	0.333333333333333
