mutation_id	replicate	prevalence
1	1	1	1
2	2	1	1
3	3	1	0.571428571428571
4	4	1	0.0833333333333333
5	5	1	0.466666666666667
6	1	2	0.966666666666667
7	2	2	1
8	3	2	0.791666666666667
9	4	2	0.05
10	5	2	0.333333333333333
11	1	3	1
12	2	3	0.878787878787879
13	3	3	0.72
14	4	3	0.0909090909090909
15	5	3	0.466666666666667
16	1	4	0.828571428571429
17	2	4	0.757575757575758
18	3	4	0.481481481481482
19	4	4	0.272727272727273
20	5	4	0.166666666666667
21	1	5	1
22	2	5	1
23	3	5	0.4
24	4	5	0.0571428571428571
25	5	5	0.5
26	1	6	0.9
27	2	6	0.84375
28	3	6	0.586206896551724
29	4	6	0.037037037037037
30	5	6	0.166666666666667
31	1	7	1
32	2	7	0.805555555555556
33	3	7	0.5
34	4	7	0.107142857142857
35	5	7	0.366666666666667
36	1	8	1
37	2	8	0.647058823529412
38	3	8	0.4
39	4	8	0.125
40	5	8	0.466666666666667
41	1	9	1
42	2	9	0.606060606060606
43	3	9	0.772727272727273
44	4	9	0.107142857142857
45	5	9	0.2
46	1	10	0.666666666666667
47	2	10	0.923076923076923
48	3	10	0.714285714285714
49	4	10	0.15625
50	5	10	0.4
51	1	11	1
52	2	11	0.911764705882353
53	3	11	0.607142857142857
54	4	11	0.307692307692308
55	5	11	0.3
56	1	12	1
57	2	12	0.966666666666667
58	3	12	0.259259259259259
59	4	12	0.242424242424242
60	5	12	0.333333333333333
61	1	13	1
62	2	13	1
63	3	13	0.72
64	4	13	0.0384615384615385
65	5	13	0.5
66	1	14	1
67	2	14	1
68	3	14	0.392857142857143
69	4	14	0.115384615384615
70	5	14	0.266666666666667
71	1	15	1
72	2	15	0.888888888888889
73	3	15	0.458333333333333
74	4	15	0.206896551724138
75	5	15	0.333333333333333
76	1	16	0.96
77	2	16	1
78	3	16	0.566666666666667
79	4	16	0.025
80	5	16	0.5
81	1	17	0.870967741935484
82	2	17	0.787878787878788
83	3	17	0.708333333333333
84	4	17	0.136363636363636
85	5	17	0.433333333333333
86	1	18	1
87	2	18	0.956521739130435
88	3	18	0.607142857142857
89	4	18	0.0434782608695652
90	5	18	0.4
91	1	19	1
92	2	19	0.611111111111111
93	3	19	0.583333333333333
94	4	19	0.125
95	5	19	0.333333333333333
96	1	20	1
97	2	20	0.59375
98	3	20	0.464285714285714
99	4	20	0.2
100	5	20	0.433333333333333
101	1	21	0.8125
102	2	21	0.9375
103	3	21	0.423076923076923
104	4	21	0.290322580645161
105	5	21	0.4
106	1	22	0.941176470588235
107	2	22	0.888888888888889
108	3	22	0.91304347826087
109	4	22	0.148148148148148
110	5	22	0.233333333333333
111	1	23	0.75
112	2	23	0.67741935483871
113	3	23	0.37037037037037
114	4	23	0.0571428571428571
115	5	23	0.266666666666667
116	1	24	0.870967741935484
117	2	24	0.861111111111111
118	3	24	0.952380952380952
119	4	24	0.208333333333333
120	5	24	0.333333333333333
121	1	25	1
122	2	25	0.8125
123	3	25	0.666666666666667
124	4	25	0.117647058823529
125	5	25	0.4
126	1	26	0.931034482758621
127	2	26	1
128	3	26	0.703703703703704
129	4	26	0.138888888888889
130	5	26	0.433333333333333
131	1	27	1
132	2	27	0.939393939393939
133	3	27	1
134	4	27	0.121212121212121
135	5	27	0.266666666666667
136	1	28	0.733333333333333
137	2	28	1
138	3	28	0.666666666666667
139	4	28	0.21875
140	5	28	0.3
141	1	29	0.818181818181818
142	2	29	0.78125
143	3	29	0.4
144	4	29	0.037037037037037
145	5	29	0.4
146	1	30	0.933333333333333
147	2	30	0.925925925925926
148	3	30	0.583333333333333
149	4	30	0.0833333333333333
150	5	30	0.333333333333333
