mutation_id	replicate	prevalence
1	1	1	0.95
2	2	1	0.95
3	3	1	NA
4	4	1	0.25
5	5	1	NA
6	1	2	1
7	2	2	1
8	3	2	NA
9	4	2	0.13
10	5	2	0.23
11	1	3	0.9833
12	2	3	0.967
13	3	3	0.43
14	4	3	0.27
15	5	3	NA
16	1	4	0.883
17	2	4	0.85
18	3	4	NA
19	4	4	0.12
20	5	4	NA
21	1	5	1
22	2	5	0.72
23	3	5	0.32
24	4	5	0.22
25	5	5	0.19
26	1	6	1
27	2	6	0.85
28	3	6	0.953
29	4	6	0.27
30	5	6	NA
31	1	7	0.95
32	2	7	0.933
33	3	7	NA
34	4	7	0.2
35	5	7	0.18
36	1	8	0.95
37	2	8	0.833
38	3	8	NA
39	4	8	0.17
40	5	8	0.23
41	1	9	1
42	2	9	1
43	3	9	0.85
44	4	9	0.12
45	5	9	0.21
46	1	10	0.95
47	2	10	0.933
48	3	10	0.36
49	4	10	0.17
50	5	10	0.22
51	1	11	1
52	2	11	0.75
53	3	11	NA
54	4	11	0.12
55	5	11	NA
56	1	12	0.967
57	2	12	0.8
58	3	12	NA
59	4	12	0.15
60	5	12	0.23
61	1	13	0.967
62	2	13	0.85
63	3	13	NA
64	4	13	0.1
65	5	13	0.29
66	1	14	1
67	2	14	0.817
68	3	14	0.79
69	4	14	0.18
70	5	14	NA
71	1	15	0.76
72	2	15	0.85
73	3	15	0.38
74	4	15	0.22
75	5	15	NA
76	1	16	1
77	2	16	0.9
78	3	16	0.68
79	4	16	0.17
80	5	16	NA
81	1	17	0.95
82	2	17	0.917
83	3	17	0.34
84	4	17	0.13
85	5	17	NA
86	1	18	1
87	2	18	0.917
88	3	18	0.981
89	4	18	0.12
90	5	18	NA
91	1	19	1
92	2	19	0.917
93	3	19	0.44
94	4	19	0.18
95	5	19	NA
96	1	20	0.883
97	2	20	0.883
98	3	20	NA
99	4	20	0.18
100	5	20	NA
101	1	21	0.77
102	2	21	0.817
103	3	21	NA
104	4	21	0.083
105	5	21	0.19
106	1	22	0.9
107	2	22	0.833
108	3	22	0.76
109	4	22	0.1
110	5	22	0.22
111	1	23	1
112	2	23	0.75
113	3	23	NA
114	4	23	0.083
115	5	23	NA
116	1	24	1
117	2	24	0.78
118	3	24	0.4
119	4	24	0.17
120	5	24	0.17
121	1	25	1
122	2	25	0.917
123	3	25	0.29
124	4	25	0.184
125	5	25	0.21
126	1	26	1
127	2	26	0.967
128	3	26	0.38
129	4	26	0.12
130	5	26	NA
131	1	27	1
132	2	27	0.8
133	3	27	NA
134	4	27	0.22
135	5	27	0.2
136	1	28	1
137	2	28	0.867
138	3	28	NA
139	4	28	0.18
140	5	28	NA
141	1	29	1
142	2	29	1
143	3	29	NA
144	4	29	0.13
145	5	29	NA
146	1	30	0.85
147	2	30	1
148	3	30	NA
149	4	30	0.17
150	5	30	NA
