mutation_id	replicate	prevalence
1	1	1	0.982
2	2	1	0.888
3	3	1	0.37
4	4	1	0.15
5	5	1	NA
6	1	2	1
7	2	2	0.856
8	3	2	NA
9	4	2	0.17
10	5	2	NA
11	1	3	0.996
12	2	3	0.9
13	3	3	NA
14	4	3	0.14
15	5	3	NA
16	1	4	1
17	2	4	0.878
18	3	4	NA
19	4	4	0.14
20	5	4	NA
21	1	5	0.938
22	2	5	0.93
23	3	5	NA
24	4	5	0.17
25	5	5	0.24
26	1	6	0.954
27	2	6	0.904
28	3	6	NA
29	4	6	0.17
30	5	6	NA
31	1	7	0.966
32	2	7	0.86
33	3	7	NA
34	4	7	0.15
35	5	7	0.21
36	1	8	0.968
37	2	8	0.9
38	3	8	NA
39	4	8	0.15
40	5	8	NA
41	1	9	0.966
42	2	9	0.904
43	3	9	0.39
44	4	9	0.16
45	5	9	NA
46	1	10	1
47	2	10	0.892
48	3	10	0.4
49	4	10	0.15
50	5	10	NA
51	1	11	1
52	2	11	0.89
53	3	11	NA
54	4	11	0.13
55	5	11	NA
56	1	12	1
57	2	12	0.898
58	3	12	NA
59	4	12	0.14
60	5	12	NA
61	1	13	0.942
62	2	13	0.922
63	3	13	NA
64	4	13	0.13
65	5	13	NA
66	1	14	1
67	2	14	0.91
68	3	14	NA
69	4	14	0.15
70	5	14	0.2
71	1	15	1
72	2	15	0.914
73	3	15	NA
74	4	15	0.17
75	5	15	0.2
76	1	16	0.996
77	2	16	0.9
78	3	16	NA
79	4	16	0.14
80	5	16	0.21
81	1	17	0.992
82	2	17	0.896
83	3	17	0.34
84	4	17	0.15
85	5	17	0.19
86	1	18	1
87	2	18	0.992
88	3	18	NA
89	4	18	0.15
90	5	18	0.2
91	1	19	1
92	2	19	0.868
93	3	19	0.35
94	4	19	0.16
95	5	19	NA
96	1	20	0.98
97	2	20	0.94
98	3	20	NA
99	4	20	0.16
100	5	20	0.2
101	1	21	1
102	2	21	0.884
103	3	21	NA
104	4	21	0.17
105	5	21	NA
106	1	22	1
107	2	22	0.858
108	3	22	NA
109	4	22	0.15
110	5	22	NA
111	1	23	1
112	2	23	0.88
113	3	23	0.35
114	4	23	0.15
115	5	23	0.2
116	1	24	1
117	2	24	0.868
118	3	24	0.4
119	4	24	0.15
120	5	24	NA
121	1	25	1
122	2	25	0.884
123	3	25	NA
124	4	25	0.18
125	5	25	NA
126	1	26	1
127	2	26	0.9
128	3	26	0.35
129	4	26	0.14
130	5	26	0.22
131	1	27	0.91
132	2	27	0.878
133	3	27	NA
134	4	27	0.16
135	5	27	NA
136	1	28	0.968
137	2	28	0.924
138	3	28	NA
139	4	28	0.16
140	5	28	NA
141	1	29	0.988
142	2	29	0.92
143	3	29	NA
144	4	29	0.17
145	5	29	NA
146	1	30	1
147	2	30	0.92
148	3	30	0.34
149	4	30	0.14
150	5	30	NA
