mutation_id	replicate	prevalence
1	1	1	0.9
2	2	1	1
3	3	1	NA
4	4	1	0.067
5	5	1	0.47
6	1	2	0.96
7	2	2	1
8	3	2	0.38
9	4	2	0.067
10	5	2	0.18
11	1	3	1
12	2	3	0.967
13	3	3	0.36
14	4	3	0.1
15	5	3	NA
16	1	4	0.967
17	2	4	0.833
18	3	4	NA
19	4	4	0.3
20	5	4	NA
21	1	5	1
22	2	5	0.933
23	3	5	NA
24	4	5	0.067
25	5	5	0.43
26	1	6	0.9
27	2	6	0.9
28	3	6	NA
29	4	6	0.033
30	5	6	NA
31	1	7	1
32	2	7	0.967
33	3	7	NA
34	4	7	0.1
35	5	7	0.33
36	1	8	1
37	2	8	0.73
38	3	8	NA
39	4	8	0.13
40	5	8	NA
41	1	9	1
42	2	9	0.67
43	3	9	0.78
44	4	9	0.1
45	5	9	NA
46	1	10	0.867
47	2	10	0.8
48	3	10	0.71
49	4	10	0.17
50	5	10	0.35
51	1	11	1
52	2	11	1
53	3	11	NA
54	4	11	0.27
55	5	11	NA
56	1	12	1
57	2	12	0.96
58	3	12	NA
59	4	12	0.27
60	5	12	NA
61	1	13	1
62	2	13	0.9
63	3	13	0.36
64	4	13	0.033
65	5	13	NA
66	1	14	1
67	2	14	0.867
68	3	14	NA
69	4	14	0.1
70	5	14	0.27
71	1	15	0.833
72	2	15	0.8
73	3	15	0.46
74	4	15	0.2
75	5	15	0.17
76	1	16	0.8
77	2	16	0.933
78	3	16	0.57
79	4	16	0.033
80	5	16	0.26
81	1	17	0.9
82	2	17	0.867
83	3	17	0.34
84	4	17	0.1
85	5	17	0.38
86	1	18	1
87	2	18	0.73
88	3	18	NA
89	4	18	0.033
90	5	18	0.37
91	1	19	1
92	2	19	0.73
93	3	19	0.59
94	4	19	0.13
95	5	19	NA
96	1	20	0.967
97	2	20	0.63
98	3	20	NA
99	4	20	0.2
100	5	20	NA
101	1	21	0.867
102	2	21	1
103	3	21	NA
104	4	21	0.3
105	5	21	NA
106	1	22	1
107	2	22	0.8
108	3	22	0.43
109	4	22	0.13
110	5	22	NA
111	1	23	0.8
112	2	23	0.7
113	3	23	NA
114	4	23	0.067
115	5	23	0.25
116	1	24	0.9
117	2	24	1
118	3	24	1
119	4	24	0.17
120	5	24	0.32
121	1	25	0.933
122	2	25	0.867
123	3	25	0.67
124	4	25	0.13
125	5	25	0.21
126	1	26	0.9
127	2	26	0.933
128	3	26	NA
129	4	26	0.17
130	5	26	NA
131	1	27	0.967
132	2	27	1
133	3	27	0.52
134	4	27	0.13
135	5	27	NA
136	1	28	0.73
137	2	28	0.8
138	3	28	0.67
139	4	28	0.23
140	5	28	0.15
141	1	29	0.9
142	2	29	0.833
143	3	29	0.4
144	4	29	0.033
145	5	29	0.38
146	1	30	0.94
147	2	30	0.833
148	3	30	0.59
149	4	30	0.1
150	5	30	0.32
