mutation_id	ref_counts	var_counts	normal_cn	minor_cn	major_cn
1	509	491	2	1	1
2	508	492	2	1	1
3	484	516	2	1	1
4	512	488	2	1	1
5	501	499	2	1	1
6	484	516	2	1	1
7	525	475	2	1	1
8	494	506	2	1	1
9	480	520	2	1	1
10	519	481	2	1	1
11	557	443	2	1	1
12	564	436	2	1	1
13	561	439	2	1	1
14	567	433	2	1	1
15	555	445	2	1	1
16	555	445	2	1	1
17	538	462	2	1	1
18	549	451	2	1	1
19	536	464	2	1	1
20	556	444	2	1	1
21	648	352	2	1	2
22	720	280	2	1	2
23	682	318	2	1	2
24	706	294	2	1	2
25	705	295	2	1	2
26	687	313	2	1	2
27	669	331	2	1	2
28	706	294	2	1	2
29	699	301	2	1	2
30	672	328	2	1	2
31	931	69	2	1	1
32	943	57	2	1	1
33	923	77	2	1	1
34	940	60	2	1	1
35	922	78	2	1	1
36	923	77	2	1	1
37	931	69	2	1	1
38	938	62	2	1	1
39	932	68	2	1	1
40	928	72	2	1	1
41	814	186	2	0	2
42	817	183	2	0	2
43	802	198	2	0	2
44	772	228	2	0	2
45	803	197	2	0	2
46	819	181	2	0	2
47	802	198	2	0	2
48	788	212	2	0	2
49	822	178	2	0	2
50	776	224	2	0	2
