mutation_id	ref_counts	var_counts	normal_cn	minor_cn	major_cn
1	485	515	2	1	1
2	494	506	2	1	1
3	517	483	2	1	1
4	486	514	2	1	1
5	493	507	2	1	1
6	502	498	2	1	1
7	518	482	2	1	1
8	516	484	2	1	1
9	473	527	2	1	1
10	479	521	2	1	1
11	544	456	2	1	1
12	549	451	2	1	1
13	555	445	2	1	1
14	537	463	2	1	1
15	544	456	2	1	1
16	516	484	2	1	1
17	526	474	2	1	1
18	537	463	2	1	1
19	554	446	2	1	1
20	560	440	2	1	1
21	677	323	2	1	2
22	714	286	2	1	2
23	694	306	2	1	2
24	675	325	2	1	2
25	649	351	2	1	2
26	710	290	2	1	2
27	699	301	2	1	2
28	706	294	2	1	2
29	704	296	2	1	2
30	690	310	2	1	2
31	928	72	2	1	1
32	915	85	2	1	1
33	930	70	2	1	1
34	918	82	2	1	1
35	930	70	2	1	1
36	924	76	2	1	1
37	927	73	2	1	1
38	924	76	2	1	1
39	917	83	2	1	1
40	926	74	2	1	1
41	824	176	2	0	2
42	809	191	2	0	2
43	797	203	2	0	2
44	795	205	2	0	2
45	810	190	2	0	2
46	796	204	2	0	2
47	807	193	2	0	2
48	806	194	2	0	2
49	787	213	2	0	2
50	793	207	2	0	2
