mutation_id	ref_counts	var_counts	normal_cn	minor_cn	major_cn
1	464	536	2	1	1
2	501	499	2	1	1
3	495	505	2	1	1
4	493	507	2	1	1
5	493	507	2	1	1
6	505	495	2	1	1
7	503	497	2	1	1
8	453	547	2	1	1
9	497	503	2	1	1
10	493	507	2	1	1
11	518	482	2	1	1
12	565	435	2	1	1
13	585	415	2	1	1
14	563	437	2	1	1
15	581	419	2	1	1
16	548	452	2	1	1
17	535	465	2	1	1
18	548	452	2	1	1
19	565	435	2	1	1
20	568	432	2	1	1
21	675	325	2	1	2
22	676	324	2	1	2
23	677	323	2	1	2
24	670	330	2	1	2
25	697	303	2	1	2
26	686	314	2	1	2
27	687	313	2	1	2
28	684	316	2	1	2
29	682	318	2	1	2
30	699	301	2	1	2
31	933	67	2	1	1
32	926	74	2	1	1
33	914	86	2	1	1
34	929	71	2	1	1
35	911	89	2	1	1
36	929	71	2	1	1
37	935	65	2	1	1
38	922	78	2	1	1
39	916	84	2	1	1
40	938	62	2	1	1
41	816	184	2	0	2
42	814	186	2	0	2
43	791	209	2	0	2
44	796	204	2	0	2
45	796	204	2	0	2
46	799	201	2	0	2
47	797	203	2	0	2
48	804	196	2	0	2
49	797	203	2	0	2
50	764	236	2	0	2
