mutation_id	ref_counts	var_counts	normal_cn	minor_cn	major_cn
1	511	489	2	1	1
2	488	512	2	1	1
3	490	510	2	1	1
4	483	517	2	1	1
5	492	508	2	1	1
6	500	500	2	1	1
7	503	497	2	1	1
8	474	526	2	1	1
9	504	496	2	1	1
10	492	508	2	1	1
11	564	436	2	1	1
12	541	459	2	1	1
13	538	462	2	1	1
14	536	464	2	1	1
15	525	475	2	1	1
16	572	428	2	1	1
17	569	431	2	1	1
18	548	452	2	1	1
19	554	446	2	1	1
20	545	455	2	1	1
21	679	321	2	1	2
22	688	312	2	1	2
23	706	294	2	1	2
24	663	337	2	1	2
25	696	304	2	1	2
26	677	323	2	1	2
27	688	312	2	1	2
28	699	301	2	1	2
29	699	301	2	1	2
30	681	319	2	1	2
31	929	71	2	1	1
32	923	77	2	1	1
33	933	67	2	1	1
34	919	81	2	1	1
35	918	82	2	1	1
36	931	69	2	1	1
37	925	75	2	1	1
38	927	73	2	1	1
39	922	78	2	1	1
40	930	70	2	1	1
41	819	181	2	0	2
42	810	190	2	0	2
43	780	220	2	0	2
44	802	198	2	0	2
45	796	204	2	0	2
46	830	170	2	0	2
47	797	203	2	0	2
48	797	203	2	0	2
49	795	205	2	0	2
50	815	185	2	0	2
