mutation_id	ref_counts	var_counts	normal_cn	minor_cn	major_cn
1	510	490	2	1	1
2	520	480	2	1	1
3	493	507	2	1	1
4	492	508	2	1	1
5	503	497	2	1	1
6	464	536	2	1	1
7	480	520	2	1	1
8	491	509	2	1	1
9	502	498	2	1	1
10	496	504	2	1	1
11	571	429	2	1	1
12	562	438	2	1	1
13	580	420	2	1	1
14	544	456	2	1	1
15	513	487	2	1	1
16	539	461	2	1	1
17	552	448	2	1	1
18	546	454	2	1	1
19	540	460	2	1	1
20	543	457	2	1	1
21	695	305	2	1	2
22	720	280	2	1	2
23	695	305	2	1	2
24	697	303	2	1	2
25	702	298	2	1	2
26	705	295	2	1	2
27	707	293	2	1	2
28	700	300	2	1	2
29	702	298	2	1	2
30	703	297	2	1	2
31	925	75	2	1	1
32	935	65	2	1	1
33	923	77	2	1	1
34	934	66	2	1	1
35	916	84	2	1	1
36	933	67	2	1	1
37	924	76	2	1	1
38	936	64	2	1	1
39	930	70	2	1	1
40	926	74	2	1	1
41	808	192	2	0	2
42	792	208	2	0	2
43	781	219	2	0	2
44	808	192	2	0	2
45	781	219	2	0	2
46	790	210	2	0	2
47	823	177	2	0	2
48	795	205	2	0	2
49	814	186	2	0	2
50	802	198	2	0	2
