mutation_id	ref_counts	var_counts	normal_cn	minor_cn	major_cn
1	13	17	2	1	1
2	13	17	2	1	1
3	23	7	2	1	1
4	14	16	2	1	1
5	11	19	2	1	1
6	17	13	2	1	1
7	15	15	2	1	1
8	13	17	2	1	1
9	15	15	2	1	1
10	13	17	2	1	1
11	15	15	2	1	1
12	16	14	2	1	1
13	14	16	2	1	1
14	10	20	2	1	1
15	13	17	2	1	1
16	16	14	2	1	1
17	16	14	2	1	1
18	16	14	2	1	1
19	16	14	2	1	1
20	14	16	2	1	1
21	16	14	2	1	1
22	16	14	2	1	1
23	14	16	2	1	1
24	15	15	2	1	1
25	21	9	2	1	1
26	16	14	2	1	1
27	13	17	2	1	1
28	12	18	2	1	1
29	20	10	2	1	1
30	16	14	2	1	1
31	19	11	2	1	1
32	14	16	2	1	1
33	22	8	2	1	1
34	17	13	2	1	1
35	17	13	2	1	1
36	14	16	2	1	1
37	15	15	2	1	1
38	22	8	2	1	1
39	15	15	2	1	1
40	19	11	2	1	1
41	20	10	2	1	2
42	22	8	2	1	2
43	20	10	2	1	2
44	22	8	2	1	2
45	14	16	2	1	2
46	20	10	2	1	2
47	25	5	2	1	2
48	21	9	2	1	2
49	18	12	2	1	2
50	20	10	2	1	2
51	19	11	2	1	2
52	24	6	2	1	2
53	23	7	2	1	2
54	21	9	2	1	2
55	20	10	2	1	2
56	19	11	2	1	2
57	19	11	2	1	2
58	23	7	2	1	2
59	24	6	2	1	2
60	21	9	2	1	2
61	28	2	2	1	1
62	27	3	2	1	1
63	28	2	2	1	1
64	30	0	2	1	1
65	28	2	2	1	1
66	28	2	2	1	1
67	26	4	2	1	1
68	29	1	2	1	1
69	30	0	2	1	1
70	29	1	2	1	1
71	30	0	2	1	1
72	29	1	2	1	1
73	29	1	2	1	1
74	28	2	2	1	1
75	29	1	2	1	1
76	25	5	2	1	1
77	26	4	2	1	1
78	26	4	2	1	1
79	29	1	2	1	1
80	28	2	2	1	1
81	25	5	2	0	2
82	26	4	2	0	2
83	26	4	2	0	2
84	24	6	2	0	2
85	25	5	2	0	2
86	23	7	2	0	2
87	25	5	2	0	2
88	26	4	2	0	2
89	21	9	2	0	2
90	25	5	2	0	2
91	26	4	2	0	2
92	23	7	2	0	2
93	24	6	2	0	2
94	27	3	2	0	2
95	22	8	2	0	2
96	19	11	2	0	2
97	20	10	2	0	2
98	24	6	2	0	2
99	27	3	2	0	2
100	26	4	2	0	2
