mutation_id	ref_counts	var_counts	normal_cn	minor_cn	major_cn
1	13	17	2	1	1
2	21	9	2	1	1
3	16	14	2	1	1
4	15	15	2	1	1
5	15	15	2	1	1
6	14	16	2	1	1
7	16	14	2	1	1
8	14	16	2	1	1
9	14	16	2	1	1
10	16	14	2	1	1
11	17	13	2	1	1
12	16	14	2	1	1
13	15	15	2	1	1
14	14	16	2	1	1
15	22	8	2	1	1
16	16	14	2	1	1
17	23	7	2	1	1
18	14	16	2	1	1
19	16	14	2	1	1
20	18	12	2	1	1
21	16	14	2	1	2
22	15	15	2	1	2
23	24	6	2	1	2
24	25	5	2	1	2
25	23	7	2	1	2
26	20	10	2	1	2
27	21	9	2	1	2
28	17	13	2	1	2
29	21	9	2	1	2
30	20	10	2	1	2
31	28	2	2	1	1
32	27	3	2	1	1
33	28	2	2	1	1
34	29	1	2	1	1
35	29	1	2	1	1
36	26	4	2	1	1
37	29	1	2	1	1
38	29	1	2	1	1
39	28	2	2	1	1
40	29	1	2	1	1
41	25	5	2	0	2
42	23	7	2	0	2
43	22	8	2	0	2
44	27	3	2	0	2
45	25	5	2	0	2
46	23	7	2	0	2
47	26	4	2	0	2
48	25	5	2	0	2
49	22	8	2	0	2
50	23	7	2	0	2
