mutation_id	ref_counts	var_counts	normal_cn	minor_cn	major_cn
1	38	22	2	1	1
2	27	33	2	1	1
3	32	28	2	1	1
4	37	23	2	1	1
5	19	41	2	1	1
6	29	31	2	1	1
7	25	35	2	1	1
8	29	31	2	1	1
9	30	30	2	1	1
10	30	30	2	1	1
11	32	28	2	1	1
12	27	33	2	1	1
13	27	33	2	1	1
14	26	34	2	1	1
15	29	31	2	1	1
16	30	30	2	1	1
17	34	26	2	1	1
18	29	31	2	1	1
19	32	28	2	1	1
20	32	28	2	1	1
21	43	17	2	1	1
22	34	26	2	1	1
23	29	31	2	1	1
24	34	26	2	1	1
25	33	27	2	1	1
26	39	21	2	1	1
27	39	21	2	1	1
28	28	32	2	1	1
29	37	23	2	1	1
30	33	27	2	1	1
31	31	29	2	1	1
32	32	28	2	1	1
33	33	27	2	1	1
34	32	28	2	1	1
35	40	20	2	1	1
36	31	29	2	1	1
37	39	21	2	1	1
38	34	26	2	1	1
39	26	34	2	1	1
40	40	20	2	1	1
41	47	13	2	1	2
42	43	17	2	1	2
43	49	11	2	1	2
44	38	22	2	1	2
45	39	21	2	1	2
46	42	18	2	1	2
47	40	20	2	1	2
48	44	16	2	1	2
49	41	19	2	1	2
50	46	14	2	1	2
51	41	19	2	1	2
52	40	20	2	1	2
53	42	18	2	1	2
54	45	15	2	1	2
55	35	25	2	1	2
56	40	20	2	1	2
57	43	17	2	1	2
58	38	22	2	1	2
59	49	11	2	1	2
60	41	19	2	1	2
61	57	3	2	1	1
62	59	1	2	1	1
63	54	6	2	1	1
64	56	4	2	1	1
65	54	6	2	1	1
66	55	5	2	1	1
67	53	7	2	1	1
68	54	6	2	1	1
69	55	5	2	1	1
70	58	2	2	1	1
71	56	4	2	1	1
72	56	4	2	1	1
73	60	0	2	1	1
74	51	9	2	1	1
75	59	1	2	1	1
76	55	5	2	1	1
77	54	6	2	1	1
78	54	6	2	1	1
79	54	6	2	1	1
80	55	5	2	1	1
81	46	14	2	0	2
82	46	14	2	0	2
83	50	10	2	0	2
84	50	10	2	0	2
85	50	10	2	0	2
86	52	8	2	0	2
87	47	13	2	0	2
88	45	15	2	0	2
89	49	11	2	0	2
90	52	8	2	0	2
91	51	9	2	0	2
92	47	13	2	0	2
93	45	15	2	0	2
94	54	6	2	0	2
95	51	9	2	0	2
96	49	11	2	0	2
97	52	8	2	0	2
98	46	14	2	0	2
99	49	11	2	0	2
100	45	15	2	0	2
